ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra, URL
14368750208,SPEEDS Meja Kurs Lipat Set Free Meja Lipat Kursi Lipat Outdoor Indoor Tas Folding Table Chair Portable Meja Camping Piknik 031-36,"114,0RB",4RB+,Speeds Official Shop,12%,Rp13.680,https://shopee.co.id/product/185468564/14368750208,https://s.shopee.co.id/2LOqM0IpMy,https://down-bs-id.img.susercontent.com/id-11134201-7rask-m58kd9rqrgkdc9.webp
40051537590,"Kipas Angin Genggam Portabel Turbo – 100 Level, Angin Kencang, Super Sunyi, Bisa Diisi Ulang Type-C, Kipas Mini Tangan untuk Rumah, Kantor, Perjalanan","86,0RB",10RB+,Cantiklife Official Store,"12,5%",Rp10.320,https://shopee.co.id/product/1150795545/40051537590,https://s.shopee.co.id/2ViGYJIC21,https://down-bs-id.img.susercontent.com/id-11134207-7rbk0-maxi9afxdproef.webp
22883020172,FOAM SPRAYER PNEUMATIC MANUAL HAND PUMP - nanoTECH PROTECTION - PRESSURE WASHER GUN SNOW WASH - SHAMPOO CUCI SALJU MOTOR MOBIL - JET CLEANER PRESSURE WASHER - LANCE FOAM MANUAL,"131,2RB",4RB+,nanoTECH PROTECTION™,9%,Rp11.808,https://shopee.co.id/product/28770468/22883020172,https://s.shopee.co.id/5L2SHOmFnM,https://down-tx-id.img.susercontent.com/id-11134207-7r98w-lx9blnfbqecub4.webp
40600168646,[Tanpa tepi hitam]WSKEN Tempered Glass Clear/Privacy Glossy Auto Align Tech Anti Gores Screen Protector Full for iPhone X XR 17 17 ProMax 16 16 PROMAX 16PLUS 15 PRO MAX 15 PLUS 14 PLUS 14 PRO MAX 13 PRO MAX 12 PRO MAX 11 PRO MAX XS XS MAX,"77,0RB",5RB+,WSKEN Official Store,"10,5%",Rp7.700,https://shopee.co.id/product/1016780123/40600168646,https://s.shopee.co.id/5VLsThlcSP,https://down-tx-id.img.susercontent.com/id-11134207-7rbk1-m9igx8m4t05tdb.webp
28211735463,【Beli 1 Gratis 1】 Lampu Tenaga Surya Luar Ruangan Lampu Sorot Surya Super Terang Tahan Air IP67 LED Lampu 24 Jam,"90,8RB",2RB+,MOOOZ Official Store,19%,Rp17.252,https://shopee.co.id/product/1300069355/28211735463,https://s.shopee.co.id/5ffIg0kz7S,https://down-tx-id.img.susercontent.com/id-11134207-7ra0m-mckcc9nilmaf0c.webp
43307417571,Holder Hp Magnetic YESPLUS XP-01 Stand Holder 360° Rotation Adjustable Vacuum Suction Universal Car,"35,9RB",3RB+,Yesplus Official Shop,12%,Rp4.306,https://shopee.co.id/product/193505710/43307417571,https://s.shopee.co.id/5pyisJkLmV,https://down-tx-id.img.susercontent.com/id-11134207-7ra0g-mch7yemdk6jr8d.webp

